,u1_id,u2_id,u1_willing,u2_willing,similarity
645,730,1217,1,1,0
646,731,1289,1,0,12
647,304,732,0,1,12
648,733,3143,0,0,11
649,734,2252,0,0,8
650,735,2563,1,1,11
651,445,736,1,1,15
652,737,2732,0,0,9
653,738,2892,0,0,10
654,739,3269,0,1,7
655,708,740,0,0,12
656,741,2846,0,0,7
657,738,744,0,0,12
658,745,2226,1,1,10
659,746,2601,0,1,11
660,747,2921,0,1,11
661,748,1330,0,0,9
662,749,2735,0,1,9
663,750,1206,0,0,9
664,752,3262,1,0,5
665,753,1090,1,0,8
666,754,2980,0,0,13
667,755,871,0,0,12
668,441,756,1,0,9
669,757,1419,0,0,11
670,758,3404,1,0,9
671,759,3365,0,0,6
672,760,3262,0,0,6
673,761,2688,0,0,9
674,355,762,0,0,10
675,763,3564,0,0,6
676,764,2528,0,0,0
677,737,765,0,0,5
678,766,1882,1,0,13
679,440,768,0,0,11
680,769,2103,1,0,12
681,770,1562,0,1,6
682,401,771,1,0,7
683,772,3367,0,0,8
684,773,2727,0,0,6
685,774,3787,0,0,11
686,579,776,0,1,11
687,777,1333,0,0,8
688,778,856,0,1,11
689,779,1106,0,1,10
690,780,1125,1,0,7
691,781,883,0,1,1
692,782,1740,0,0,7
693,783,1791,0,0,8
694,784,1709,1,1,7
695,785,1520,0,0,9
696,214,786,0,1,1
697,787,3731,0,0,9
698,788,1271,0,0,8
699,789,2561,1,0,9
700,790,1650,0,0,8
701,791,2845,0,0,7
702,792,3797,0,0,13
703,793,1058,0,0,12
704,794,1328,1,0,9
705,795,912,0,0,10
706,295,797,0,1,9
707,799,1706,1,0,0
708,802,1316,0,0,8
709,803,1555,0,0,6
710,804,2568,0,0,5
711,805,1506,1,0,8
712,806,3241,0,0,3
713,807,3310,0,0,13
714,808,1520,0,0,8
715,809,3439,0,0,8
716,810,2641,1,0,11
717,440,811,0,0,10
718,812,1020,0,0,7
719,814,2845,1,1,10
720,815,2533,0,0,12
721,816,2536,0,0,7
722,817,2093,0,0,9
723,818,1680,1,0,6
724,819,1336,0,0,10
725,820,2952,0,0,11
726,593,821,0,0,1
727,822,1775,0,1,11
728,823,2633,0,0,7
729,235,824,1,0,8
730,825,1671,0,0,9
731,826,3697,0,0,7
732,370,827,0,0,7
733,829,2474,1,1,11
734,830,2874,0,0,8
735,831,3651,0,0,7
736,832,1766,0,1,0
737,833,2116,0,0,8
738,834,1413,0,0,10
739,835,2479,1,0,8
740,836,3154,0,1,5
741,396,837,0,0,11
742,838,2346,1,0,5
743,839,3772,0,1,0
744,840,2852,0,0,13
745,841,3071,0,0,10
746,844,1363,0,0,11
747,453,845,0,0,9
748,847,1986,0,0,8
749,848,3680,0,0,5
750,829,849,1,0,14
751,575,850,0,0,11
752,851,983,0,0,10
753,852,3513,0,0,12
754,853,981,0,0,6
755,854,1159,1,0,8
756,856,1922,1,0,6
757,857,2512,0,0,7
758,406,858,0,0,7
759,860,3609,0,0,10
760,862,3860,1,0,12
761,863,938,0,0,4
762,864,3184,1,0,9
763,865,1134,1,0,7
764,866,2157,0,0,13
765,788,867,0,0,3
766,868,1922,0,0,8
767,870,937,0,0,5
768,872,3058,0,0,8
769,874,3545,0,1,7
770,876,2543,0,0,8
771,681,877,0,0,10
772,878,2446,1,0,14
773,879,2479,0,0,7
